mol_id,topology,n_nodes,n_edges,min_idx,max_idx,is_contiguous,exceeds_bounds,max_expected
0,cyclic,92,91,0,91,True,False,91
1,linear,92,91,0,91,True,False,91
2,dendrimer,97,96,0,96,True,False,96
3,dendrimer,90,89,0,89,True,False,89
4,dendrimer,91,90,0,90,True,False,90
5,dendrimer,94,93,0,93,True,False,93
6,branch,96,95,0,95,True,False,95
7,branch,92,91,0,91,True,False,91
8,branch,94,93,0,93,True,False,93
9,dendrimer,95,94,0,94,True,False,94
10,branch,95,94,0,94,True,False,94
11,dendrimer,96,95,0,95,True,False,95
12,dendrimer,93,92,0,92,True,False,92
13,branch,96,95,0,95,True,False,95
14,dendrimer,95,94,0,94,True,False,94
15,branch,92,91,0,91,True,False,91
16,dendrimer,93,92,0,92,True,False,92
17,branch,93,92,0,92,True,False,92
18,branch,98,97,0,97,True,False,97
19,dendrimer,93,92,0,92,True,False,92
20,dendrimer,99,98,0,98,True,False,98
21,branch,91,90,0,90,True,False,90
22,dendrimer,90,89,0,89,True,False,89
23,branch,100,99,0,99,True,False,99
24,dendrimer,91,90,0,90,True,False,90
25,branch,95,94,0,94,True,False,94
26,dendrimer,92,91,0,91,True,False,91
27,branch,99,98,0,98,True,False,98
28,dendrimer,100,99,0,99,True,False,99
29,branch,92,91,0,91,True,False,91
30,dendrimer,91,90,0,90,True,False,90
31,dendrimer,95,94,0,94,True,False,94
32,branch,95,94,0,94,True,False,94
33,dendrimer,97,96,0,96,True,False,96
34,dendrimer,93,92,0,92,True,False,92
35,branch,99,98,0,98,True,False,98
36,dendrimer,95,94,0,94,True,False,94
37,branch,99,98,0,98,True,False,98
38,linear,95,94,0,94,True,False,94
39,dendrimer,90,89,0,89,True,False,89
40,dendrimer,93,92,0,92,True,False,92
41,branch,92,91,0,91,True,False,91
42,dendrimer,91,90,0,90,True,False,90
43,dendrimer,100,99,0,99,True,False,99
44,dendrimer,96,95,0,95,True,False,95
45,dendrimer,93,92,0,92,True,False,92
46,linear,94,93,0,93,True,False,93
47,star,94,93,0,93,True,False,93
48,star,93,92,0,92,True,False,92
49,dendrimer,97,96,0,96,True,False,96
50,comb,95,94,0,94,True,False,94
51,comb,93,92,0,92,True,False,92
52,comb,91,90,0,90,True,False,90
53,branch,95,94,0,94,True,False,94
54,branch,91,90,0,90,True,False,90
55,comb,90,89,0,89,True,False,89
56,comb,95,94,0,94,True,False,94
57,dendrimer,97,96,0,96,True,False,96
58,dendrimer,93,92,0,92,True,False,92
59,branch,90,89,0,89,True,False,89
60,branch,92,91,0,91,True,False,91
61,comb,99,98,0,98,True,False,98
62,comb,90,89,0,89,True,False,89
63,star,96,95,0,95,True,False,95
64,star,93,92,0,92,True,False,92
65,star,96,95,0,95,True,False,95
66,branch,100,99,0,99,True,False,99
67,comb,92,91,0,91,True,False,91
68,star,90,89,0,89,True,False,89
69,branch,92,91,0,91,True,False,91
70,star,96,95,0,95,True,False,95
71,branch,94,93,0,93,True,False,93
72,star,91,90,0,90,True,False,90
73,comb,97,96,0,96,True,False,96
74,branch,98,97,0,97,True,False,97
75,dendrimer,94,93,0,93,True,False,93
76,comb,93,92,0,92,True,False,92
77,comb,97,96,0,96,True,False,96
78,star,95,94,0,94,True,False,94
79,star,93,92,0,92,True,False,92
80,comb,93,92,0,92,True,False,92
81,dendrimer,91,90,0,90,True,False,90
82,comb,94,93,0,93,True,False,93
83,star,90,89,0,89,True,False,89
84,comb,98,97,0,97,True,False,97
85,branch,92,91,0,91,True,False,91
86,star,97,96,0,96,True,False,96
87,comb,91,90,0,90,True,False,90
88,branch,94,93,0,93,True,False,93
89,comb,91,90,0,90,True,False,90
90,comb,93,92,0,92,True,False,92
91,star,95,94,0,94,True,False,94
92,dendrimer,90,89,0,89,True,False,89
93,comb,96,95,0,95,True,False,95
94,comb,93,92,0,92,True,False,92
95,branch,90,89,0,89,True,False,89
96,star,94,93,0,93,True,False,93
97,branch,100,99,0,99,True,False,99
98,star,91,90,0,90,True,False,90
99,branch,98,97,0,97,True,False,97
100,star,93,92,0,92,True,False,92
101,comb,94,93,0,93,True,False,93
102,star,96,95,0,95,True,False,95
103,branch,92,91,0,91,True,False,91
104,comb,98,97,0,97,True,False,97
105,comb,99,98,0,98,True,False,98
106,comb,90,89,0,89,True,False,89
107,comb,92,91,0,91,True,False,91
108,star,99,98,0,98,True,False,98
109,star,93,92,0,92,True,False,92
110,dendrimer,90,89,0,89,True,False,89
111,dendrimer,98,97,0,97,True,False,97
112,comb,100,99,0,99,True,False,99
113,branch,98,97,0,97,True,False,97
114,comb,92,91,0,91,True,False,91
115,dendrimer,90,89,0,89,True,False,89
116,star,93,92,0,92,True,False,92
117,dendrimer,94,93,0,93,True,False,93
118,star,91,90,0,90,True,False,90
119,star,93,92,0,92,True,False,92
120,star,93,92,0,92,True,False,92
121,comb,94,93,0,93,True,False,93
122,branch,92,91,0,91,True,False,91
123,comb,96,95,0,95,True,False,95
124,comb,91,90,0,90,True,False,90
125,comb,90,89,0,89,True,False,89
126,branch,92,91,0,91,True,False,91
127,dendrimer,90,89,0,89,True,False,89
128,dendrimer,92,91,0,91,True,False,91
129,branch,93,92,0,92,True,False,92
130,star,96,95,0,95,True,False,95
131,star,96,95,0,95,True,False,95
132,star,90,89,0,89,True,False,89
133,star,98,97,0,97,True,False,97
134,dendrimer,93,92,0,92,True,False,92
135,branch,91,90,0,90,True,False,90
136,star,93,92,0,92,True,False,92
137,comb,95,94,0,94,True,False,94
138,star,92,91,0,91,True,False,91
139,star,90,89,0,89,True,False,89
140,branch,92,91,0,91,True,False,91
141,comb,95,94,0,94,True,False,94
142,star,93,92,0,92,True,False,92
143,star,94,93,0,93,True,False,93
144,star,93,92,0,92,True,False,92
145,star,97,96,0,96,True,False,96
146,comb,92,91,0,91,True,False,91
147,comb,93,92,0,92,True,False,92
148,dendrimer,98,97,0,97,True,False,97
149,star,91,90,0,90,True,False,90
150,star,93,92,0,92,True,False,92
151,comb,97,96,0,96,True,False,96
152,comb,91,90,0,90,True,False,90
153,dendrimer,97,96,0,96,True,False,96
154,star,99,98,0,98,True,False,98
155,dendrimer,91,90,0,90,True,False,90
156,comb,96,95,0,95,True,False,95
157,comb,92,91,0,91,True,False,91
158,star,95,94,0,94,True,False,94
159,branch,91,90,0,90,True,False,90
160,branch,91,90,0,90,True,False,90
161,star,95,94,0,94,True,False,94
162,linear,91,90,0,90,True,False,90
163,star,91,90,0,90,True,False,90
164,branch,99,98,0,98,True,False,98
165,star,91,90,0,90,True,False,90
166,branch,98,97,0,97,True,False,97
